"posXY","posX","posY","orientation","angle","00:0f:a3:39:dd:cd","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8a","00:14:bf:b1:97:8d","00:14:bf:b1:97:90"
"1.86-8.08",1.86,8.08,147.7,135,-66.5315315315315,-54.3853211009174,-62.063829787234,-63.0357142857143,-50.5825242718447,-51.3846153846154,-49.9607843137255
"10.23-6.88",10.23,6.88,221.6,225,-57.6545454545455,-45.8363636363636,-58.2947368421053,-59.2134831460674,-58.5714285714286,-50.1041666666667,-67.5609756097561
"10.46-5.8",10.46,5.8,35.8,45,-64.9727272727273,-44.5272727272727,-52.6024096385542,-57.5789473684211,-58.1720430107527,-58.7444444444444,-65.3111111111111
"10.62-3.87",10.62,3.87,55.2,45,-66.5089285714286,-48.1090909090909,-45.9803921568627,-46.0111111111111,-59.3833333333333,-61.2658227848101,-68.4090909090909
"10.99-7.19",10.99,7.19,289.5,270,-61.0357142857143,-44.7545454545455,-49.8163265306122,-56.6629213483146,-56.3873873873874,-55.7816091954023,-66.2142857142857
"11.39-5",11.39,5,89.4,90,-64.3153153153153,-54.0181818181818,-48.8901098901099,-59.7640449438202,-58.7904761904762,-58.3578947368421,-74.3707865168539
"11.76-7.76",11.76,7.76,175.3,180,-65.1909090909091,-48.4727272727273,-54.7676767676768,-59.3296703296703,-57.1089108910891,-54.2254901960784,-67.0679611650485
"12.16-5.25",12.16,5.25,73,90,-69.2017543859649,-52.302752293578,-49.9036144578313,-59.1341463414634,-52.5862068965517,-56.734693877551,-67.0987654320988
"12.18-3.4",12.18,3.4,257.2,270,-64.9909090909091,-50.2545454545455,-45.4772727272727,-55.1914893617021,-59.0957446808511,-60.8085106382979,-76.4886363636364
"12.26-6.72",12.26,6.72,98,90,-57.2252252252252,-51.6636363636364,-50.561797752809,-58.8539325842697,-56.6363636363636,-46.1770833333333,-68.7244897959184
"12.55-7.38",12.55,7.38,20.9,0,-59.1727272727273,-41.6697247706422,-52.3294117647059,-58.0879120879121,-62.2403846153846,-51.6732673267327,-68.3493975903614
"12.95-5.25",12.95,5.25,120.5,135,-72.7477477477478,-50.1454545454545,-47.9292929292929,-56.7816091954023,-57.3826086956522,-58.031914893617,-69.4285714285714
"14.98-7.55",14.98,7.55,94.4,90,-65.2818181818182,-53.2272727272727,-53.5490196078431,-53.0612244897959,-66.5365853658537,-44.1808510638298,-77.1111111111111
"16.44-7.45",16.44,7.45,264.6,270,-68.7636363636364,-53.4545454545455,-58.1882352941176,-52.7472527472527,-58.2826086956522,-45.5222222222222,-68.6593406593407
"2.02-7.45",2.02,7.45,94.3,90,-63.1272727272727,-55.4495412844037,-66.2121212121212,-66.1666666666667,-48.0934579439252,-57.967032967033,-58.6881720430108
"2.49-7.6",2.49,7.6,316.7,315,-69.537037037037,-58.7407407407407,-65.3152173913043,-67.3595505617977,-43.8611111111111,-62.6444444444444,-44.7169811320755
"21.23-5.47",21.23,5.47,115.8,135,-80.0176991150443,-57.2181818181818,-62.3265306122449,-50.75,-62.2210526315789,-50.9550561797753,-79.1413043478261
"21.3-3.8",21.3,3.8,120.1,135,-77.1818181818182,-60.1801801801802,-61.6781609195402,-44.2222222222222,-67.0927835051546,-56.4222222222222,-78.5045871559633
"21.45-6.62",21.45,6.62,27.3,45,-71.6363636363636,-53.6090909090909,-60.3292682926829,-49.9866666666667,-60.4285714285714,-41.1136363636364,-70.9518072289157
"21.6-7.63",21.6,7.63,192,180,-75.2,-54.5454545454545,-61.3977272727273,-52.9418604651163,-72.8804347826087,-50.2747252747253,-80.2391304347826
"21.98-7.46",21.98,7.46,325.8,315,-66.5688073394495,-53.25,-61.7666666666667,-53.8369565217391,-60.4786324786325,-52.1397849462366,-76.5542168674699
"22.3-6.36",22.3,6.36,123.3,135,-79.3524590163934,-61.8636363636364,-60.0909090909091,-51.7790697674419,-64.2065217391304,-47.4673913043478,-77.8045977011494
"22.38-3.94",22.38,3.94,319.3,315,-75.3867924528302,-57.5700934579439,-61.1511627906977,-52.6179775280899,-58.3953488372093,-49.4367816091954,-73.3863636363636
"22.76-5.06",22.76,5.06,251.2,270,-82.7155963302752,-57.6422018348624,-61.0760869565217,-53.1473684210526,-61.752688172043,-49.9791666666667,-76.5444444444445
"23.24-7.5",23.24,7.5,7.9,0,-79.5925925925926,-56.4818181818182,-59.5287356321839,-53.7934782608696,-65.2277227722772,-56.6631578947368,-69.6739130434783
"23.36-3.4",23.36,3.4,309.4,315,-73.1801801801802,-58.6388888888889,-57.6382978723404,-53,-54.1574074074074,-54.2873563218391,-73.4186046511628
"23.53-4.22",23.53,4.22,205.2,225,-78.2788461538462,-58.8504672897196,-63.7613636363636,-50.8470588235294,-56.9775280898876,-55.406976744186,-78.1609195402299
"23.9-7",23.9,7,344.9,0,-78.0476190476191,-57.5185185185185,-61.6555555555556,-54.1649484536082,-64.8333333333333,-58.3373493975904,-69.2446808510638
"24.31-3.89",24.31,3.89,301.3,315,-75.6875,-55.3818181818182,-58.1170212765957,-52.4945054945055,-65.4565217391304,-54.35,-78.7244897959184
"24.7-7.7",24.7,7.7,87.9,90,-76.4444444444444,-55.954128440367,-63.4347826086956,-56.6153846153846,-70.97,-44.8901098901099,-75.4431818181818
"25.23-7.78",25.23,7.78,10,0,-75.5233644859813,-54.6422018348624,-66.3814432989691,-53.6703296703297,-67.1274509803922,-47.3469387755102,-73.7127659574468
"25.76-7.34",25.76,7.34,122.7,135,-79.2035398230089,-57.5420560747664,-68.3440860215054,-52.5681818181818,-63.5,-45.032967032967,-77.0744680851064
"26.71-7.5",26.71,7.5,96,90,-75.6330275229358,-57.9363636363636,-66.9382716049383,-48.8297872340426,-68.0555555555556,-47.252427184466,-75.8045977011494
"28.12-7.57",28.12,7.57,310.2,315,-78.0366972477064,-56.5963302752294,-64.3069306930693,-53.9673913043478,-68.7755102040816,-53.6842105263158,-70.62
"29.58-7.93",29.58,7.93,314.9,315,-84.1694915254237,-53.7909090909091,-69.3214285714286,-48.3473684210526,-68.84,-49.9574468085106,-75.6666666666667
"3.44-7.43",3.44,7.43,51.4,45,-62.5185185185185,-51.2314814814815,-63.4333333333333,-62.3953488372093,-51.4285714285714,-52.0594059405941,-60.3548387096774
"31.06-7.19",31.06,7.19,247.1,225,-80.5576923076923,-56.1296296296296,-70.8658536585366,-45.4086021505376,-62.2065217391304,-39.3626373626374,-79.7261904761905
"31.78-7.62",31.78,7.62,261.5,270,-78.1,-54.9,-65.65625,-49.3882352941176,-65.9457364341085,-45.4494382022472,-76.6893203883495
"32.16-7.08",32.16,7.08,110.4,90,-82.5490196078431,-59.0185185185185,-70.2647058823529,-44.5730337078652,-69.3362068965517,-37.5533980582524,-77.056
"32.54-7.08",32.54,7.08,50.3,45,-79.4403669724771,-53.9816513761468,-64.9891304347826,-53.7826086956522,-68.5463917525773,-32.8494623655914,-71.6395348837209
"4.51-7.63",4.51,7.63,330.5,315,-64.3636363636364,-48.8818181818182,-65.4848484848485,-65.1521739130435,-50.7313432835821,-62.2926829268293,-60.1485148514851
"6-7.88",6,7.88,137,135,-66.054054054054,-47.7522935779817,-57.3763440860215,-58.7848101265823,-51.07,-54.4,-61.9166666666667
"7.48-7.36",7.48,7.36,340.1,0,-62.7747747747748,-43.5688073394495,-59.6315789473684,-61.5957446808511,-52.7064220183486,-59.8936170212766,-63.7752808988764
"8.56-7.64",8.56,7.64,305.1,315,-54.3333333333333,-46.1926605504587,-53.8313253012048,-61.2065217391304,-55.8932038834951,-56.6521739130435,-66.1702127659574
"9.08-7.24",9.08,7.24,338,0,-55.5486725663717,-48.302752293578,-53.6666666666667,-58.0963855421687,-59.2065217391304,-57.0843373493976,-65.3636363636364
"9.46-7.77",9.46,7.77,169.4,180,-61.3669724770642,-45.4818181818182,-49.6451612903226,-61.1882352941176,-60.8085106382979,-49.3411764705882,-71.4473684210526
"9.86-3.88",9.86,3.88,191.1,180,-65.5,-55.3090909090909,-44.1313131313131,-52.6333333333333,-55.94,-55.9493670886076,-65.5326086956522
